"ESP32Batt","BLECountUnique","ruuviMac","ruuviMovementDiff","ruuviBatt","ruuviRSSI","DevEUI","time_received","time_received_formatted"
"3268","7","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","0c6d","0","2532","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","c584","0","2636","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","dbcc","0","2388","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","99aa","0","2556","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","7","f43d","61","3204","0","9900AABBCCDDEE19","24.6.2020 14.01.27 +03:00","2020-06-24T14:01:27+03:00"
"3268","9","72f5","0","0","-72","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","c942","28","0","-85","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","0c6d","0","0","-77","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","c584","0","0","-70","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","dbcc","39","0","-72","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","99aa","38","0","-71","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","9","f43d","0","0","-73","9900AABBCCDDEE19","24.6.2020 14.00.18 +03:00","2020-06-24T14:00:18+03:00"
"3268","8","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","490f","0","2884","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","c942","38","2484","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","0c6d","0","2524","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","c584","0","2628","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","dbcc","44","2396","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","8","f43d","0","3196","0","9900AABBCCDDEE19","24.6.2020 13.59.09 +03:00","2020-06-24T13:59:09+03:00"
"3268","7","72f5","0","0","-78","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","c942","20","0","-77","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","0c6d","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","c584","9","0","-68","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","dbcc","14","0","-67","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","99aa","77","0","-74","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","7","f43d","0","0","-78","9900AABBCCDDEE19","24.6.2020 13.58.00 +03:00","2020-06-24T13:58:00+03:00"
"3268","8","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","c942","0","2348","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","0c6d","0","2516","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","c584","39","2628","0","9900AABBCCDDEE19","24.6.2020 13.56.51 +03:00","2020-06-24T13:56:51+03:00"
"3268","8","72f5","38","0","-78","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","490f","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","c942","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","0c6d","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","c584","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","dbcc","30","0","-72","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","8","f43d","36","0","-72","9900AABBCCDDEE19","24.6.2020 13.55.42 +03:00","2020-06-24T13:55:42+03:00"
"3268","5","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","c942","18","2356","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","0c6d","0","2524","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","c584","38","2636","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","99aa","77","2556","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","5","f43d","0","3204","0","9900AABBCCDDEE19","24.6.2020 13.54.33 +03:00","2020-06-24T13:54:33+03:00"
"3268","8","72f5","56","0","-72","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","490f","0","0","-74","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","c942","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","0c6d","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","c584","18","0","-73","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","dbcc","104","0","-72","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","99aa","34","0","-73","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","8","f43d","0","0","-78","9900AABBCCDDEE19","24.6.2020 13.53.24 +03:00","2020-06-24T13:53:24+03:00"
"3268","10","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","10","c942","76","2356","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","10","0c6d","0","2516","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","10","c584","46","2620","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","10","99aa","43","2548","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","10","f43d","63","3196","0","9900AABBCCDDEE19","24.6.2020 13.52.15 +03:00","2020-06-24T13:52:15+03:00"
"3268","8","72f5","33","0","-69","9900AABBCCDDEE19","24.6.2020 13.51.06 +03:00","2020-06-24T13:51:06+03:00"
"3268","8","490f","0","0","-75","9900AABBCCDDEE19","24.6.2020 13.51.06 +03:00","2020-06-24T13:51:06+03:00"
"3268","8","0c6d","0","0","-74","9900AABBCCDDEE19","24.6.2020 13.51.06 +03:00","2020-06-24T13:51:06+03:00"
"3268","8","c584","18","0","-69","9900AABBCCDDEE19","24.6.2020 13.51.06 +03:00","2020-06-24T13:51:06+03:00"
"3268","8","99aa","29","0","-73","9900AABBCCDDEE19","24.6.2020 13.51.06 +03:00","2020-06-24T13:51:06+03:00"
"3268","7","72f5","54","2460","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","7","0c6d","0","2508","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","7","c584","13","2620","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","7","dbcc","82","2404","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","7","99aa","63","2548","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","7","f43d","19","3212","0","9900AABBCCDDEE19","24.6.2020 13.49.57 +03:00","2020-06-24T13:49:57+03:00"
"3268","5","72f5","0","0","-71","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","490f","42","0","-74","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","c942","14","0","-82","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","0c6d","0","0","-77","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","c584","36","0","-67","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","dbcc","37","0","-69","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","5","99aa","0","0","-72","9900AABBCCDDEE19","24.6.2020 13.48.49 +03:00","2020-06-24T13:48:49+03:00"
"3268","3","490f","0","2892","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","c942","36","2436","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","0c6d","0","2508","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","c584","19","2628","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","dbcc","8","2404","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","99aa","0","2556","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","3","f43d","15","3204","0","9900AABBCCDDEE19","24.6.2020 13.47.40 +03:00","2020-06-24T13:47:40+03:00"
"3268","1","490f","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","c942","32","0","-76","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","0c6d","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","c584","26","0","-69","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","dbcc","70","0","-69","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","99aa","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","1","f43d","36","0","-72","9900AABBCCDDEE19","24.6.2020 13.46.31 +03:00","2020-06-24T13:46:31+03:00"
"3268","5","72f5","0","2452","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","490f","55","2892","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","0c6d","4","2508","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","c584","0","2628","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","dbcc","52","2412","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","99aa","0","2556","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","5","f43d","41","3204","0","9900AABBCCDDEE19","24.6.2020 13.45.22 +03:00","2020-06-24T13:45:22+03:00"
"3268","6","72f5","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","490f","88","0","-76","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","c942","43","0","-74","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","0c6d","68","0","-80","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","c584","0","0","-64","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","dbcc","64","0","-68","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","99aa","0","0","-73","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","6","f43d","0","0","-70","9900AABBCCDDEE19","24.6.2020 13.44.13 +03:00","2020-06-24T13:44:13+03:00"
"3268","7","72f5","0","2460","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","c942","0","2404","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","c584","0","2628","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","dbcc","83","2412","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","99aa","0","2564","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","f43d","44","3204","0","9900AABBCCDDEE19","24.6.2020 13.43.04 +03:00","2020-06-24T13:43:04+03:00"
"3268","7","72f5","0","0","-65","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","490f","35","0","-69","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","0c6d","29","0","-84","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","dbcc","49","0","-73","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","99aa","13","0","-73","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","f43d","30","0","-79","9900AABBCCDDEE19","24.6.2020 13.41.55 +03:00","2020-06-24T13:41:55+03:00"
"3268","7","490f","50","2884","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","c942","47","2372","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","0c6d","12","2508","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","c584","58","2620","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","dbcc","62","2420","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","f43d","38","3204","0","9900AABBCCDDEE19","24.6.2020 13.40.46 +03:00","2020-06-24T13:40:46+03:00"
"3268","7","72f5","0","0","-70","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","c942","0","0","-81","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","0c6d","0","0","-77","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","c584","5","0","-69","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","dbcc","19","0","-66","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","99aa","50","0","-68","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","7","f43d","11","0","-77","9900AABBCCDDEE19","24.6.2020 13.39.37 +03:00","2020-06-24T13:39:37+03:00"
"3268","4","72f5","39","2460","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","490f","65","2892","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","c942","0","2428","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","0c6d","0","2508","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","c584","57","2620","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","dbcc","79","2428","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","f43d","84","3204","0","9900AABBCCDDEE19","24.6.2020 13.38.28 +03:00","2020-06-24T13:38:28+03:00"
"3268","4","72f5","0","0","-70","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","490f","18","0","-72","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","c942","0","0","-82","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","c584","39","0","-66","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","dbcc","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","99aa","2","0","-71","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","f43d","40","0","-70","9900AABBCCDDEE19","24.6.2020 13.37.19 +03:00","2020-06-24T13:37:19+03:00"
"3268","4","72f5","25","2452","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","4","c942","44","2420","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","4","0c6d","60","2516","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","4","c584","64","2628","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","4","99aa","5","2572","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","4","f43d","64","3212","0","9900AABBCCDDEE19","24.6.2020 13.36.10 +03:00","2020-06-24T13:36:10+03:00"
"3268","7","72f5","5","0","-69","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","490f","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","c942","22","0","-79","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","c584","31","0","-65","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","dbcc","0","0","-72","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","99aa","4","0","-66","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","7","f43d","50","0","-64","9900AABBCCDDEE19","24.6.2020 13.35.02 +03:00","2020-06-24T13:35:02+03:00"
"3268","4","72f5","0","2452","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","490f","0","2884","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","c942","0","2420","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","0c6d","20","2516","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","c584","111","2620","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","dbcc","0","2428","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","99aa","16","2564","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","4","f43d","0","3204","0","9900AABBCCDDEE19","24.6.2020 13.33.53 +03:00","2020-06-24T13:33:53+03:00"
"3268","6","72f5","12","0","-64","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","490f","3","0","-94","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","c942","0","0","-76","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","0c6d","1","0","-76","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","c584","80","0","-66","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","dbcc","0","0","-69","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","99aa","6","0","-69","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
"3268","6","f43d","20","0","-70","9900AABBCCDDEE19","24.6.2020 13.32.44 +03:00","2020-06-24T13:32:44+03:00"
